User,Tweets,Post_date
RapMais,MIRANDO UM FEAT FUTURO COM TRAVIS SCOTT  ELA N DÁ PONTO SEM NÓ,2021-04-25 06:07:34
RapMais,HOJE ESTAREI PARTICIPANDO DO PROGRAMA  PARA CONTAR UM POUCO SOBRE OS PROJETOS  DA CUFA REALIZADOS DURANTE A PANDE,2021-04-25 00:47:27
RapMais,POLICIAL QUE MATOU GEORGE FLOYD ESTÁ SENDO INVESTIGADO POR TER FICADO AJOELHADO NAS COSTAS DE UM ADOLESCENTE NEGRO ,2021-04-24 23:36:32
RapMais,O RAPPER KANYE WEST ESTÁ NESTE MOMENTO COM O CORAL DO SUNDAY SERVICE NO MEMORIAL DO RAPPER DMX. OS FÃS PODEM ASSI ,2021-04-24 22:55:55
RapMais,"6IX9INE FAZ PRIMEIRO SHOW DESDE QUE SAIU DA PRISÃO, SE JOGA NA MULTIDÃO E TEM CORRENTE ROUBADA  ",2021-04-24 22:54:13
RapMais,PK DELAS DEBOCHA APÓS SER DETIDO POR FAZER SEXO COM DUAS MULHERES EM CARRO NA ORLA DO RIO DE JANEIRO  ,2021-04-24 22:34:14
RapMais,RAPPER DMX GRAVOU SEU ÚLLTIMO ÁLBUM NO ESTÚDIO DO SNOOP DOGG  ,2021-04-24 22:21:54
RapMais,TATE.INC LIBERA VIDEOCLIPE DO SINGLE GLOCK NA CINTA CONFIRA  ,2021-04-24 22:19:25
RapMais,STEPH CURRY REVELA QUE COSTUMAVA TER INVEJA DE LEBRON JAMES  ,2021-04-24 22:13:25
RapMais,KANYE WEST E BALENCIAGA SE UNEM PARA FAZER MERCH EM HOMENAGEM AO RAPPER DMX  ,2021-04-24 21:58:53
RapMais,ACOMPANHE AO VIVO O MEMORIAL DO RAPPER DMX  ,2021-04-24 21:43:13
RapMais,LIL YACHTY REVELA QUE RECEBEU AMEAÇAS DE MORTE APÓS DIZER QUE BIGGIE SMALLS ERA SUPERESTIMADO  ,2021-04-24 21:32:13
RapMais,NOVA MÚSICA GIRL FROM RIO DE ANITTA SERÁ TRAP COM SAMPLE DE GAROTA DE IPANEMA  ,2021-04-24 20:57:09
RapMais,"FÃS, AMIGOS E FAMILIARES SE UNEM PARA FUNERAL DO RAPPER DMX NO BROOKLYN  ",2021-04-24 20:28:06
RapMais,"NÃO, APENAS MÚSICAS UPADAS NO YOUTUBE, CASO QUEIRA ENVIAR UMA FAIXA, SÓ LINKAR ELA COMO NÃO LISTADO",2021-04-24 20:10:14
RapMais,,2021-04-24 19:54:57
RapMais,"NÃO ESQUEÇAM DE CHAMAR A GALERA, A VOTAÇÃO DO CHAT VALE 1 PONTO",2021-04-24 19:44:48
RapMais,JEFF XXL LIBERA E.P CACTOS COM 4 FAIXAS INÉDITAS CONFIRA  ,2021-04-24 18:26:49
RapMais,OH LÁ OPOUNIDADE DE MOSTRAR TEU TRAMPO ,2021-04-24 04:00:53
RapMais,LEMBRANDO QUE ESSA THREAD É COMPOSTA DE CITAÇÕES RÁPIDAS EM TEMPO REAL. É UMA ALTERNATIVA PRA GALERA QUE CURTE O TR ,2021-04-24 01:59:33
RapMais,"TÔ COM TANTA MÚSICA BOA, QUE PODERIA LANÇAR UMA MIXTAPE POR DIA. ANSIOSO PRA MOSTRAR PRA VOCÊSJOVEM DEX NO  ",2021-04-24 01:50:23
RapMais,"NÃO É PORQUE O RAP NÃO TE AGRADA, QUE NÃO É BOM. VOCÊ NÃO PODE CHEGAR E DIZER O QUE O OUTRO PODE OU NÃO FAZER NA A ",2021-04-24 01:41:08
RapMais,"A GALERA QUE ME ACOMPANHA SABE QUE EU CURTO ANIME. COLOCO FOTO DE ANIME. GOSTO MUITO DO 7MINUTOZ E DO PLAYER TAUZ, ",2021-04-24 01:38:52
RapMais,"EU SOU UMA PESSOA MUITO HUMILDE, MUITO FELIZ. AJUDO MUITAS PESSOAS, MAS A DIFERENÇA É QUE EU NÃO DIVULGO. EU ACHO ",2021-04-24 00:48:18
RapMais,TÔ COM UMA MÚSICA GRAVADA COM O LÉO SANTANA CANTANDO TRAPJOVEM DEX NO   ,2021-04-24 00:26:21
RapMais,"MINHAS INSPIRAÇÕES PRA FAZER O DISCO FORAM MEUS AMIGOS. NÃO TEVE MUITO DISSO QUE TER INFLUÊNCIA DE KENDRICK LAMAR, ",2021-04-24 00:23:31
RapMais,A GALERA DO HIP HOP É VAIDOSA PRA CARALHO. EU MESMO GOSTO MUITO DE FAZER SKINCARE. É BOM MANTER A FREQUÊNCIA E VER ,2021-04-24 00:19:13
RapMais,NÃO GOSTO DESSA CULTURA DO BRASIL DE NÃO PODER MOSTRAR A MINHA VITÓRIA. QUERO BATER NO MEU PEITO E DIZER QUE SOU F ,2021-04-24 00:13:44
RapMais,"O TRAP É MUITO PROMISSOR. MESMO QUE A MÚSICA NORDESTINA, E PRINCIPALMENTE DA BAHIA SEJA O FORRÓ, O PAGOFUNK, O TRA ",2021-04-23 23:54:48
RapMais,"TEM GENTE QUE VIVE DE FALAR MAL DA BAHIA, MAS QUANDO É CARNAVAL, ESTÃO LÁ. NOSSA CULTURA É MUITO FODAJOVEM DEX NO   ",2021-04-23 23:47:39
